"fk_name","parent_schema","parent_table","parent_column","ref_schema","ref_table","ref_column"
"FK__SLIP_STORE1","dbo","SLIP","OutToStore","dbo","STORE","StoreNo"
"FK_SLIP_LINE_PRODUCT","dbo","SLIP_LINE","SKU","dbo","PRODUCT","SKU"
"FK_SO_LINE_PRODUCT","dbo","SO_LINE","SKU","dbo","PRODUCT","SKU"
"FK__STORE__STORE_TYPE","dbo","STORE","StoreType","dbo","STORE_TYPE","StoreType"
"FK_STORE_EMPLOYEE","dbo","STORE","Manager","dbo","EMPLOYEE","EmployeeCode"
"FK_STORE_POLL_STATUS","dbo","STORE","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_STORE_BRAND_DAILY_GOALS_STORE","dbo","STORE_BRAND_DAILY_GOAL","StoreNo","dbo","STORE","StoreNo"
"FK_STORE_DAILY_GOALS_STORE","dbo","STORE_DAILY_GOAL","StoreNo","dbo","STORE","StoreNo"
"FK_STORE_DAILY_SCHEDULE_STORE","dbo","STORE_DAILY_SCHEDULE","StoreNo","dbo","STORE","StoreNo"
"FK_STORE_LOCATION_STORE","dbo","STORE_LOCATION","StoreNo","dbo","STORE","StoreNo"
"FK_STORE_PRICE_LEVEL_STORE","dbo","STORE_PRICE_LEVEL","StoreNo","dbo","STORE","StoreNo"
"FK__STORE_TAX_AREA__STORE","dbo","STORE_TAX_AREA","StoreNo","dbo","STORE","StoreNo"
"FK_TOUCH_MENU_STORE","dbo","TOUCH_MENU","StoreNo","dbo","STORE","StoreNo"
"FK_TRANSFER_DIRECTIVE_DOCUMENT_STATUS","dbo","TRANSFER_DIRECTIVE","StatusCode","dbo","DOCUMENT_STATUS","StatusCode"
"FK_TRANSFER_DIRECTIVE_EMPLOYEE","dbo","TRANSFER_DIRECTIVE","EmployeeCode","dbo","EMPLOYEE","EmployeeCode"
"FK_TRANSFER_DIRECTIVE_EMPLOYEE1","dbo","TRANSFER_DIRECTIVE","Picker","dbo","EMPLOYEE","EmployeeCode"
"FK_TRANSFER_DIRECTIVE_EMPLOYEE2","dbo","TRANSFER_DIRECTIVE","Shipper","dbo","EMPLOYEE","EmployeeCode"
"FK_TRANSFER_DIRECTIVE_POLL_STATUS","dbo","TRANSFER_DIRECTIVE","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_TRANSFER_DIRECTIVE_POLL_STATUS1","dbo","TRANSFER_DIRECTIVE","ResetPollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_TRANSFER_DIRECTIVE_STORE","dbo","TRANSFER_DIRECTIVE","StoreNo","dbo","STORE","StoreNo"
"FK_TRANSFER_DIRECTIVE_STORE1","dbo","TRANSFER_DIRECTIVE","OutToStoreNo","dbo","STORE","StoreNo"
"FK_TRANSFER_DIRECTIVE_TRANSFER_DIRECTIVE_FLAG1","dbo","TRANSFER_DIRECTIVE","Flag1","dbo","TRANSFER_DIRECTIVE_FLAG1","Flag1"
"FK_TRANSFER_DIRECTIVE_TRANSFER_DIRECTIVE_SOURCE","dbo","TRANSFER_DIRECTIVE","SourceCode","dbo","TRANSFER_DIRECTIVE_SOURCE","SourceCode"
"FK_TRANSFER_DIRECTIVE_NUMBER_STORE","dbo","TRANSFER_DIRECTIVE_NUMBER","StoreNo","dbo","STORE","StoreNo"
"FK_TRANSFER_DIRECTIVE_SOURCE_POLL_STATUS","dbo","TRANSFER_DIRECTIVE_SOURCE","PollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_USR_AUTO_REPORT_SETTINGS_STORE","dbo","USR_AUTO_REPORT_SETTINGS","StoreNo","dbo","STORE","StoreNo"
"FK__VOUCHER__STORE","dbo","VOUCHER","StoreNo","dbo","STORE","StoreNo"
"FK__VOUCHER_LINE_PRODUCT","dbo","VOUCHER_LINE","SKU","dbo","PRODUCT","SKU"
"FK_ZOUT_SUMMARY_STORE","dbo","ZOUT_SUMMARY","StoreNo","dbo","STORE","StoreNo"
